# Serial Log - 2026-04-11T16:49:27.742250
# Port: COM24 @ 115200bps
#============================================================
[16:49:27.751] ,-1927.00
[16:49:32.671] 951.00,-1897.00,-1541.00
[16:49:32.710] 987.00,-1885.00,-1526.00
[16:49:32.752] 1043.00,-1876.00,-1471.00
[16:49:32.791] 1140.00,-1863.00,-1355.00
[16:49:32.831] 1198.00,-1871.00,-1233.00
[16:49:32.872] 1252.00,-1921.00,-973.00
[16:49:32.911] 1256.00,-1935.00,-922.00
[16:49:32.951] 1183.00,-1985.00,-517.00
[16:49:32.991] 1110.00,-1973.00,-313.00
[16:49:33.031] 1005.00,-1977.00,-167.00
[16:49:33.071] 871.00,-1973.00,-35.00
[16:49:33.111] 805.00,-1977.00,7.00
[16:49:33.152] 728.00,-1953.00,87.00
[16:49:33.191] 665.00,-1897.00,185.00
[16:49:33.229] 572.00,-1866.00,272.00
[16:49:33.271] 401.00,-1837.00,335.00
[16:49:33.310] 206.00,-1842.00,335.00
[16:49:33.351] 7.00,-1866.00,298.00
[16:49:33.390] -150.00,-1885.00,243.00
[16:49:33.432] -288.00,-1868.00,195.00
[16:49:33.471] -391.00,-1852.00,180.00
[16:49:33.511] -450.00,-1813.00,175.00
[16:49:33.550] -467.00,-1781.00,200.00
[16:49:33.590] -457.00,-1787.00,208.00
[16:49:33.633] -445.00,-1811.00,180.00
[16:49:33.670] -403.00,-1823.00,180.00
[16:49:33.711] -340.00,-1852.00,211.00
[16:49:33.750] -216.00,-1885.00,241.00
[16:49:33.779] -10.00,-1871.00,288.00
[16:49:33.831] 222.00,-1887.00,306.00
[16:49:33.871] 413.00,-1897.00,275.00
[16:49:33.912] 585.00,-1918.00,213.00
[16:49:33.952] 765.00,-1950.00,87.00
[16:49:33.991] 910.00,-1992.00,-90.00
[16:49:34.030] 1046.00,-2018.00,-285.00
[16:49:34.071] 1110.00,-2032.00,-488.00
[16:49:34.110] 1112.00,-2056.00,-701.00
[16:49:34.151] 1078.00,-2082.00,-888.00
[16:49:34.191] 1012.00,-2098.00,-1051.00
[16:49:34.231] 941.00,-2113.00,-1192.00
[16:49:34.270] 792.00,-2116.00,-1345.00
[16:49:34.299] 680.00,-2090.00,-1458.00
[16:49:34.351] 590.00,-2087.00,-1536.00
[16:49:34.391] 550.00,-2053.00,-1595.00
[16:49:34.431] 518.00,-2047.00,-1616.00
[16:49:34.469] 440.00,-1973.00,-1708.00
[16:49:34.513] 428.00,-1982.00,-1728.00
[16:49:34.551] 416.00,-1956.00,-1770.00
[16:49:34.591] 396.00,-1887.00,-1808.00
[16:49:34.631] 360.00,-1850.00,-1850.00
[16:49:34.672] 276.00,-1858.00,-1845.00
[16:49:34.712] 168.00,-1882.00,-1806.00
[16:49:34.751] 115.00,-1892.00,-1815.00
[16:49:34.791] 56.00,-1890.00,-1793.00
[16:49:34.819] 27.00,-1930.00,-1752.00
[16:49:34.871] -25.00,-1966.00,-1698.00
[16:49:34.912] -47.00,-2003.00,-1672.00
[16:49:34.950] -115.00,-2016.00,-1662.00
[16:49:34.990] -145.00,-2008.00,-1638.00
[16:49:35.031] -240.00,-1961.00,-1662.00
[16:49:35.072] -323.00,-1900.00,-1680.00
[16:49:35.111] -401.00,-1818.00,-1716.00
[16:49:35.150] -470.00,-1745.00,-1737.00
[16:49:35.191] -501.00,-1707.00,-1760.00
[16:49:35.231] -526.00,-1716.00,-1742.00
[16:49:35.270] -511.00,-1726.00,-1713.00
[16:49:35.312] -516.00,-1778.00,-1680.00
[16:49:35.353] -526.00,-1818.00,-1638.00
[16:49:35.391] -611.00,-1795.00,-1605.00
[16:49:35.431] -680.00,-1790.00,-1551.00
[16:49:35.471] -833.00,-1745.00,-1420.00
[16:49:35.510] -922.00,-1723.00,-1281.00
[16:49:35.553] -1002.00,-1697.00,-1126.00
[16:49:35.592] -1010.00,-1705.00,-1002.00
[16:49:35.631] -978.00,-1785.00,-925.00
[16:49:35.671] -917.00,-1866.00,-845.00
[16:49:35.712] -875.00,-1895.00,-813.00
[16:49:35.751] -848.00,-1918.00,-842.00
[16:49:35.780] -848.00,-1932.00,-857.00
[16:49:35.831] -871.00,-1918.00,-868.00
[16:49:35.872] -902.00,-1878.00,-816.00
[16:49:35.911] -990.00,-1785.00,-811.00
[16:49:35.952] -990.00,-1785.00,-811.00
[16:49:35.991] -1178.00,-1478.00,-701.00
[16:49:36.032] -1278.00,-1193.00,-656.00
[16:49:36.071] -1337.00,-877.00,-660.00
[16:49:36.111] -1332.00,-571.00,-695.00
[16:49:36.151] -1256.00,-316.00,-703.00
[16:49:36.193] -1166.00,-57.00,-760.00
[16:49:36.232] -1061.00,128.00,-798.00
[16:49:36.271] -941.00,268.00,-813.00
[16:49:36.311] -853.00,337.00,-825.00
[16:49:36.351] -797.00,378.00,-821.00
[16:49:36.392] -767.00,402.00,-796.00
[16:49:36.430] -777.00,392.00,-786.00
[16:49:36.471] -815.00,381.00,-780.00
[16:49:36.509] -831.00,363.00,-775.00
[16:49:36.552] -831.00,347.00,-777.00
[16:49:36.591] -861.00,333.00,-770.00
[16:49:36.631] -915.00,276.00,-762.00
[16:49:36.670] -948.00,245.00,-747.00
[16:49:36.711] -1051.00,131.00,-703.00
[16:49:36.752] -1115.00,-2.00,-677.00
[16:49:36.791] -1217.00,-181.00,-651.00
[16:49:36.831] -1271.00,-376.00,-636.00
[16:49:36.871] -1315.00,-590.00,-648.00
[16:49:36.899] -1352.00,-803.00,-685.00
[16:49:36.951] -1347.00,-935.00,-711.00
[16:49:36.991] -1306.00,-1138.00,-757.00
[16:49:37.018] -1268.00,-1288.00,-811.00
[16:49:37.074] -1193.00,-1471.00,-910.00
[16:49:37.111] -1120.00,-1571.00,-958.00
[16:49:37.151] -1032.00,-1676.00,-1036.00
[16:49:37.191] -931.00,-1802.00,-1051.00
[16:49:37.231] -861.00,-1871.00,-1058.00
[16:49:37.272] -805.00,-1916.00,-1043.00
[16:49:37.311] -782.00,-1966.00,-1041.00
[16:49:37.352] -728.00,-1992.00,-1056.00
[16:49:37.389] -718.00,-2018.00,-1048.00
[16:49:37.432] -680.00,-2016.00,-1063.00
[16:49:37.471] -680.00,-2016.00,-1063.00
[16:49:37.511] -597.00,-2063.00,-1095.00
[16:49:37.550] -498.00,-2122.00,-1116.00
[16:49:37.592] -408.00,-2137.00,-1121.00
[16:49:37.631] -337.00,-2196.00,-1116.00
[16:49:37.671] -198.00,-2232.00,-1116.00
