# Serial Log - 2026-04-18T18:00:20.299994
# Port: COM36 @ 115200bps
#============================================================
[18:00:20.300] 4,-2.300,-172.118,5.298,5.482
[18:00:23.299] imu_att:-0.185,-0.114,-2.297,-171.490,5.697,5.586
[18:00:23.339] imu_att:-0.155,-0.142,-2.297,-171.849,5.685,5.603
[18:00:23.380] imu_att:-0.122,-0.094,-2.296,-171.176,5.987,5.642
[18:00:23.420] imu_att:-0.140,-0.088,-2.295,-171.826,6.134,5.756
[18:00:23.459] imu_att:-0.154,-0.101,-2.295,-171.805,5.543,5.750
[18:00:23.499] imu_att:-0.151,-0.086,-2.295,-171.786,5.459,5.696
[18:00:23.538] imu_att:-0.151,-0.084,-2.294,-171.936,5.429,5.671
[18:00:23.580] imu_att:-0.153,-0.097,-2.295,-171.714,5.685,5.665
[18:00:23.619] imu_att:-0.132,-0.105,-2.296,-171.597,5.730,5.678
[18:00:23.659] imu_att:-0.129,-0.093,-2.294,-171.575,5.328,5.621
[18:00:23.699] imu_att:-0.155,-0.085,-2.295,-171.706,5.619,5.612
[18:00:23.740] imu_att:-0.161,-0.096,-2.294,-171.493,5.895,5.656
[18:00:23.779] imu_att:-0.135,-0.093,-2.294,-172.099,5.382,5.692
[18:00:23.819] imu_att:-0.141,-0.079,-2.295,-171.577,5.632,5.645
[18:00:23.858] imu_att:-0.142,-0.085,-2.296,-171.291,5.772,5.640
[18:00:23.900] imu_att:-0.160,-0.094,-2.298,-172.204,5.162,5.558
[18:00:23.939] imu_att:-0.145,-0.092,-2.298,-171.868,5.333,5.492
[18:00:23.979] imu_att:-0.135,-0.088,-2.299,-171.957,5.308,5.465
[18:00:24.019] imu_att:-0.151,-0.103,-2.300,-170.937,6.060,5.471
[18:00:24.060] imu_att:-0.148,-0.095,-2.300,-171.585,5.843,5.563
[18:00:24.099] imu_att:-0.154,-0.095,-2.299,-171.549,5.691,5.591
[18:00:24.139] imu_att:-0.144,-0.097,-2.298,-171.252,5.411,5.550
[18:00:24.179] imu_att:-0.142,-0.082,-2.299,-172.371,5.034,5.521
[18:00:24.218] imu_att:-0.141,-0.068,-2.298,-171.719,5.439,5.452
[18:00:24.260] imu_att:-0.153,-0.090,-2.299,-171.327,5.752,5.479
[18:00:24.299] imu_att:-0.170,-0.126,-2.300,-171.787,5.763,5.542
[18:00:24.339] imu_att:-0.138,-0.134,-2.298,-172.347,5.173,5.512
[18:00:24.378] imu_att:-0.564,0.327,-2.274,-170.828,6.100,5.554
[18:00:24.419] imu_att:-0.245,0.384,-2.278,-171.338,5.972,5.646
[18:00:24.459] imu_att:-0.181,-0.451,-2.288,-171.569,6.035,5.747
[18:00:24.499] imu_att:-0.055,-1.593,-2.272,-174.099,3.776,5.596
[18:00:24.539] imu_att:-0.168,-0.680,-2.261,-171.994,4.941,5.329
[18:00:24.578] imu_att:-0.136,0.007,-2.251,-171.139,5.896,5.362
[18:00:24.619] imu_att:-0.154,0.319,-2.243,-171.127,6.629,5.560
[18:00:24.659] imu_att:-0.253,0.301,-2.238,-171.675,5.842,5.695
[18:00:24.699] imu_att:-0.089,0.303,-2.232,-170.678,6.317,5.739
[18:00:24.738] imu_att:-0.085,0.222,-2.240,-171.071,6.369,5.854
[18:00:24.780] imu_att:-0.176,-0.498,-2.258,-172.404,5.649,5.921
[18:00:24.819] imu_att:0.275,-0.825,-2.220,-172.202,4.634,5.681
[18:00:24.859] imu_att:-0.137,0.755,-2.229,-169.933,7.057,5.733
[18:00:24.898] imu_att:-0.087,0.611,-2.235,-169.854,7.368,5.958
[18:00:24.940] imu_att:-0.259,-0.079,-2.241,-171.765,5.692,6.011
[18:00:24.979] imu_att:-0.119,-0.123,-2.226,-171.883,5.333,5.930
[18:00:25.019] imu_att:-0.089,0.010,-2.225,-170.916,6.213,5.932
[18:00:25.059] imu_att:-0.156,-0.104,-2.226,-171.674,5.764,5.936
[18:00:25.098] imu_att:0.179,-0.636,-2.180,-171.588,5.856,5.969
[18:00:25.140] imu_att:-1.094,-1.063,-2.153,-172.084,4.346,5.676
[18:00:25.179] imu_att:0.300,1.674,-2.133,-168.481,7.777,5.757
[18:00:25.219] imu_att:-0.348,1.431,-2.174,-167.975,9.030,6.224
[18:00:25.260] imu_att:0.142,-0.160,-2.170,-171.645,6.109,6.422
[18:00:25.300] imu_att:-0.102,-1.058,-2.167,-173.479,4.483,6.235
[18:00:25.339] imu_att:-0.040,-0.611,-2.154,-172.492,4.685,5.972
[18:00:25.379] imu_att:-0.107,-0.024,-2.159,-171.502,5.301,5.772
[18:00:25.418] imu_att:-0.195,0.046,-2.164,-171.037,6.166,5.790
[18:00:25.460] imu_att:-0.069,-0.459,-2.167,-172.182,5.352,5.786
[18:00:25.499] imu_att:-0.144,-0.136,-2.163,-171.290,5.443,5.652
[18:00:25.539] imu_att:0.022,0.583,-2.149,-170.451,6.568,5.724
[18:00:25.578] imu_att:0.021,-0.047,-2.173,-171.449,6.159,5.857
[18:00:25.620] imu_att:-0.170,0.111,-2.178,-171.752,6.022,5.884
[18:00:25.659] imu_att:-0.263,0.289,-2.175,-170.475,6.374,5.936
[18:00:25.699] imu_att:-0.018,0.059,-2.176,-172.377,5.238,5.913
[18:00:25.739] imu_att:-0.107,-0.182,-2.179,-171.784,5.497,5.836
[18:00:25.780] imu_att:-0.167,-0.279,-2.179,-172.459,4.848,5.721
[18:00:25.819] imu_att:-0.153,-0.144,-2.182,-171.260,5.546,5.616
[18:00:25.859] imu_att:-0.123,-0.027,-2.183,-171.542,5.781,5.643
[18:00:25.899] imu_att:-0.115,-0.034,-2.184,-171.599,5.713,5.679
[18:00:25.940] imu_att:-0.110,-0.019,-2.185,-171.844,5.415,5.648
[18:00:25.980] imu_att:-0.096,-0.032,-2.185,-171.680,5.545,5.612
[18:00:26.019] imu_att:-0.115,-0.021,-2.186,-171.334,5.956,5.650
[18:00:26.059] imu_att:-0.125,-0.025,-2.186,-171.759,5.552,5.655
[18:00:26.098] imu_att:-0.121,-0.028,-2.186,-171.757,5.364,5.634
[18:00:26.140] imu_att:-0.121,0.074,-2.186,-171.155,5.801,5.623
[18:00:26.179] imu_att:-0.131,0.208,-2.190,-171.595,5.854,5.643
[18:00:26.219] imu_att:-0.068,-0.293,-2.189,-172.154,5.266,5.635
[18:00:26.258] imu_att:-0.106,-0.117,-2.190,-172.338,5.510,5.631
[18:00:26.299] imu_att:-0.117,-0.051,-2.189,-171.938,5.305,5.581
[18:00:26.339] imu_att:-0.118,0.021,-2.191,-170.827,5.685,5.531
[18:00:26.379] imu_att:-0.074,-0.144,-2.187,-171.269,5.742,5.586
[18:00:26.419] imu_att:-0.104,0.203,-2.181,-171.485,5.736,5.608
[18:00:26.459] imu_att:-0.087,-0.052,-2.177,-171.382,5.654,5.607
[18:00:26.499] imu_att:-0.169,0.010,-2.177,-171.124,6.179,5.673
[18:00:26.539] imu_att:0.005,0.121,-2.167,-171.129,5.995,5.689
[18:00:26.579] imu_att:-0.234,-0.197,-2.167,-171.455,5.525,5.695
[18:00:26.618] imu_att:-0.280,-0.074,-2.195,-171.585,5.720,5.660
[18:00:26.660] imu_att:-0.226,1.074,-2.236,-169.927,7.355,5.854
[18:00:26.699] imu_att:-1.027,0.972,-2.380,-169.661,7.775,6.094
[18:00:26.739] imu_att:-0.145,0.617,-2.538,-171.128,6.579,6.165
[18:00:26.778] imu_att:-0.050,1.163,-2.701,-170.359,6.646,6.079
[18:00:26.819] imu_att:0.437,2.370,-2.812,-168.634,8.256,6.240
[18:00:26.859] imu_att:0.426,3.637,-2.846,-167.572,9.277,6.691
[18:00:26.899] imu_att:-0.167,4.944,-2.936,-165.830,10.915,7.196
[18:00:26.939] imu_att:0.155,5.934,-2.994,-164.689,12.266,7.686
[18:00:26.979] imu_att:0.152,7.225,-3.023,-164.102,13.004,8.330
[18:00:27.019] imu_att:-0.679,8.731,-3.145,-163.313,13.728,8.822
[18:00:27.059] imu_att:-0.523,10.156,-3.312,-162.678,14.759,9.209
[18:00:27.098] imu_att:0.556,11.394,-3.410,-162.671,14.657,9.730
[18:00:27.139] imu_att:0.503,12.598,-3.448,-161.869,15.142,10.375
[18:00:27.180] imu_att:0.125,13.744,-3.483,-162.361,14.903,10.900
[18:00:27.219] imu_att:0.084,15.483,-3.535,-161.283,16.159,11.537
[18:00:27.259] imu_att:0.244,16.680,-3.563,-161.133,15.922,12.137
[18:00:27.298] imu_att:0.125,17.598,-3.593,-161.438,16.047,12.736
[18:00:27.340] imu_att:0.478,18.056,-3.589,-161.157,15.972,13.346
[18:00:27.379] imu_att:0.537,18.883,-3.534,-161.071,16.016,13.885
[18:00:27.419] imu_att:0.149,20.083,-3.490,-160.357,16.625,14.389
[18:00:27.458] imu_att:0.082,21.147,-3.459,-160.583,16.655,14.893
[18:00:27.500] imu_att:0.521,22.096,-3.393,-161.291,16.176,15.251
[18:00:27.539] imu_att:0.203,22.794,-3.308,-160.940,16.114,15.489
[18:00:27.579] imu_att:-0.123,22.744,-3.267,-160.913,16.302,15.719
[18:00:27.618] imu_att:-0.198,23.207,-3.276,-160.607,16.635,15.918
[18:00:27.660] imu_att:0.145,23.312,-3.287,-160.488,16.427,16.037
[18:00:27.699] imu_att:0.087,23.312,-3.298,-160.730,16.426,16.126
[18:00:27.739] imu_att:0.195,23.356,-3.319,-161.024,16.233,16.163
[18:00:27.778] imu_att:0.214,23.371,-3.331,-161.323,16.123,16.171
[18:00:27.819] imu_att:0.051,22.889,-3.366,-161.114,16.183,16.200
[18:00:27.859] imu_att:0.060,22.568,-3.422,-161.610,15.681,16.125
[18:00:27.899] imu_att:0.343,22.633,-3.458,-161.224,16.026,16.089
[18:00:27.939] imu_att:0.399,22.461,-3.464,-161.600,15.744,16.086
[18:00:27.980] imu_att:0.366,22.311,-3.453,-161.495,15.701,16.031
[18:00:28.020] imu_att:0.209,22.274,-3.443,-160.956,16.033,16.028
[18:00:28.059] imu_att:0.099,21.980,-3.455,-161.321,16.147,16.105
[18:00:28.099] imu_att:0.141,21.962,-3.475,-161.185,15.980,16.109
[18:00:28.138] imu_att:0.245,22.009,-3.484,-161.723,15.793,16.092
[18:00:28.180] imu_att:0.195,22.049,-3.492,-161.409,15.994,16.088
[18:00:28.219] imu_att:0.275,21.873,-3.493,-160.921,16.286,16.123
[18:00:28.259] imu_att:0.187,21.854,-3.493,-161.025,16.117,16.160
[18:00:28.298] imu_att:0.174,21.722,-3.500,-161.491,15.903,16.172
[18:00:28.339] imu_att:0.112,21.613,-3.518,-161.236,16.034,16.163
[18:00:28.380] imu_att:0.189,21.492,-3.531,-160.670,16.558,16.228
[18:00:28.419] imu_att:0.193,21.473,-3.542,-161.113,16.361,16.306
[18:00:28.459] imu_att:0.137,21.437,-3.563,-161.385,16.065,16.302
[18:00:28.498] imu_att:0.110,21.498,-3.597,-161.169,16.055,16.241
[18:00:28.540] imu_att:0.168,21.615,-3.640,-161.075,16.121,16.223
[18:00:28.579] imu_att:0.190,21.636,-3.672,-160.784,16.351,16.239
[18:00:28.619] imu_att:0.137,21.543,-3.703,-160.647,16.486,16.282
[18:00:28.658] imu_att:0.309,21.552,-3.717,-160.948,16.322,16.321
[18:00:28.700] imu_att:0.287,21.429,-3.716,-160.903,16.431,16.381
[18:00:28.739] imu_att:0.224,21.228,-3.720,-161.034,16.180,16.387
[18:00:28.779] imu_att:0.138,20.692,-3.726,-160.720,16.660,16.441
[18:00:28.819] imu_att:-0.225,20.117,-3.789,-159.523,17.379,16.518
[18:00:28.860] imu_att:-0.471,19.737,-3.926,-160.234,17.088,16.561
[18:00:28.900] imu_att:0.503,19.025,-4.003,-160.229,16.526,16.555
[18:00:28.939] imu_att:1.077,18.260,-3.964,-160.184,16.984,16.666
[18:00:28.979] imu_att:0.641,16.440,-3.855,-160.592,16.811,16.856
[18:00:29.018] imu_att:0.152,14.315,-3.754,-160.730,16.497,16.937
[18:00:29.060] imu_att:0.070,12.535,-3.680,-161.232,16.018,16.902
[18:00:29.099] imu_att:0.105,10.714,-3.591,-162.336,15.122,16.782
[18:00:29.139] imu_att:-0.043,9.242,-3.517,-162.771,14.278,16.443
[18:00:29.178] imu_att:0.608,7.941,-3.369,-163.799,13.776,16.195
[18:00:29.220] imu_att:0.008,6.688,-3.213,-163.414,13.521,15.849
[18:00:29.259] imu_att:-0.834,5.621,-3.184,-164.055,13.368,15.426
[18:00:29.299] imu_att:0.211,4.373,-3.109,-166.276,11.601,15.030
[18:00:29.338] imu_att:-0.188,3.445,-3.043,-167.307,10.175,14.581
[18:00:29.379] imu_att:-0.530,2.411,-3.046,-168.358,9.229,13.945
[18:00:29.419] imu_att:-0.256,1.974,-3.059,-168.627,8.649,13.356
[18:00:29.459] imu_att:0.661,1.134,-2.966,-170.343,7.321,12.869
[18:00:29.499] imu_att:-0.136,0.806,-2.889,-170.159,7.104,12.364
