# Serial Log - 2026-04-18T18:22:06.119313
# Port: COM36 @ 115200bps
#============================================================
[18:22:07.836] imu_att:-0.031,-0.001,-0.071,-176.234,0.162,0.268
[18:22:07.837] imu_mag3:-990.166,-127.683,-1569.616
[18:22:07.878] imu_att:-0.028,-0.007,-0.070,-175.778,0.555,0.273
[18:22:07.879] imu_mag3:-995.175,-134.724,-1564.382
[18:22:07.917] imu_att:-0.020,-0.022,-0.069,-175.613,0.812,0.345
[18:22:07.918] imu_mag3:-1008.030,-137.896,-1559.197
[18:22:07.957] imu_att:-0.014,0.001,-0.072,-175.859,0.621,0.412
[18:22:07.958] imu_mag3:-990.223,-132.693,-1564.412
[18:22:07.997] imu_att:-0.012,0.007,-0.073,-175.804,0.639,0.490
[18:22:07.997] imu_mag3:-990.233,-132.897,-1549.006
[18:22:08.038] imu_att:-0.030,-0.004,-0.072,-176.156,0.074,0.483
[18:22:08.039] imu_mag3:-979.326,-127.701,-1559.352
[18:22:08.077] imu_att:-0.035,-0.009,-0.071,-175.320,0.747,0.471
[18:22:08.078] imu_mag3:-1013.017,-143.717,-1571.437
[18:22:08.117] imu_att:-0.026,-0.007,-0.074,-175.771,0.564,0.475
[18:22:08.118] imu_mag3:-998.137,-134.824,-1559.244
[18:22:08.157] imu_att:-0.030,-0.017,-0.073,-176.929,-0.131,0.436
[18:22:08.157] imu_mag3:-979.201,-115.908,-1554.379
[18:22:08.196] imu_att:-0.016,-0.017,-0.074,-175.875,0.412,0.390
[18:22:08.197] imu_mag3:-995.156,-132.787,-1561.328
[18:22:08.238] imu_att:-0.013,-0.017,-0.075,-176.078,0.394,0.377
[18:22:08.238] imu_mag3:-990.186,-129.633,-1571.643
[18:22:08.277] imu_att:-0.009,-0.011,-0.077,-176.194,0.225,0.387
[18:22:08.278] imu_mag3:-993.127,-127.756,-1566.532
[18:22:08.317] imu_att:-0.006,-0.006,-0.078,-176.239,0.293,0.371
[18:22:08.318] imu_mag3:-998.051,-127.688,-1575.773
[18:22:08.356] imu_att:-0.009,-0.003,-0.078,-176.650,0.199,0.401
[18:22:08.357] imu_mag3:-990.093,-120.020,-1551.236
[18:22:08.397] imu_att:-0.008,0.005,-0.080,-176.258,0.388,0.424
[18:22:08.399] imu_mag3:-1007.916,-127.876,-1569.603
[18:22:08.437] imu_att:-0.002,0.019,-0.082,-175.772,0.608,0.415
[18:22:08.438] imu_mag3:-979.379,-132.643,-1559.284
[18:22:08.477] imu_att:-0.002,0.006,-0.082,-175.877,0.709,0.472
[18:22:08.478] imu_mag3:-998.111,-132.752,-1566.461
[18:22:08.516] imu_att:-0.023,-0.002,-0.083,-176.034,0.460,0.486
[18:22:08.517] imu_mag3:-983.290,-129.694,-1561.376
[18:22:08.558] imu_att:-0.033,-0.017,-0.084,-176.478,0.206,0.450
[18:22:08.558] imu_mag3:-983.222,-122.910,-1551.200
[18:22:08.597] imu_att:-0.021,-0.013,-0.084,-175.710,0.492,0.420
[18:22:08.598] imu_mag3:-964.595,-132.618,-1549.023
[18:22:08.637] imu_att:-0.000,-0.019,-0.081,-175.608,0.228,0.376
[18:22:08.638] imu_mag3:-983.356,-134.866,-1543.848
[18:22:08.677] imu_att:-0.090,-0.097,-0.081,-175.860,0.433,0.332
[18:22:08.678] imu_mag3:-993.210,-134.838,-1554.112
[18:22:08.717] imu_att:-0.179,-0.376,-0.102,-176.363,0.145,0.297
[18:22:08.719] imu_mag3:-990.197,-129.836,-1556.236
[18:22:08.757] imu_att:0.191,-0.099,-0.081,-175.498,0.512,0.304
[18:22:08.758] imu_mag3:-993.182,-132.725,-1564.410
[18:22:08.797] imu_att:-0.104,0.497,-0.084,-175.611,1.169,0.422
[18:22:08.798] imu_mag3:-988.311,-137.750,-1554.075
[18:22:08.837] imu_att:0.180,0.463,-0.059,-175.767,0.834,0.550
[18:22:08.838] imu_mag3:-1003.003,-128.161,-1543.929
[18:22:08.878] imu_att:1.638,1.131,0.176,-173.229,2.958,1.005
[18:22:08.879] imu_mag3:-998.005,-122.895,-1564.542
[18:22:08.917] imu_att:1.577,0.934,0.543,-171.929,4.530,1.940
[18:22:08.918] imu_mag3:-1027.875,-149.091,-1550.817
[18:22:08.957] imu_att:-0.175,1.374,0.821,-176.279,1.085,2.374
[18:22:08.958] imu_mag3:-1060.246,-133.630,-1551.011
[18:22:08.997] imu_att:-0.109,2.775,1.036,-175.413,0.938,2.310
[18:22:08.997] imu_mag3:-1101.803,-145.413,-1515.912
[18:22:09.036] imu_att:-0.028,5.016,1.259,-175.483,1.030,2.292
[18:22:09.037] imu_mag3:-1158.972,-142.419,-1490.249
[18:22:09.078] imu_att:-0.537,7.363,1.403,-179.086,-1.910,1.854
[18:22:09.078] imu_mag3:-1219.675,-100.297,-1437.393
[18:22:09.117] imu_att:-0.646,9.443,1.460,-179.653,-2.715,1.305
[18:22:09.118] imu_mag3:-1260.061,-95.185,-1408.688
[18:22:09.157] imu_att:-0.387,11.204,1.447,-179.336,-2.357,0.745
[18:22:09.157] imu_mag3:-1301.465,-91.506,-1347.100
[18:22:09.196] imu_att:-0.053,13.727,1.410,-178.634,-2.349,0.122
[18:22:09.197] imu_mag3:-1352.777,-92.754,-1294.682
[18:22:09.238] imu_att:-0.130,16.347,1.343,-179.687,-3.125,-0.514
[18:22:09.238] imu_mag3:-1388.148,-78.937,-1247.614
[18:22:09.277] imu_att:-0.361,18.005,1.177,179.616,-3.919,-1.303
[18:22:09.278] imu_mag3:-1418.694,-74.152,-1186.048
[18:22:09.317] imu_att:0.398,19.783,1.052,-179.561,-3.271,-1.889
[18:22:09.318] imu_mag3:-1436.356,-64.840,-1157.412
[18:22:09.356] imu_att:0.649,21.042,0.997,-179.994,-2.744,-2.105
[18:22:09.357] imu_mag3:-1443.123,-51.362,-1136.028
[18:22:09.398] imu_att:0.664,21.425,0.962,179.520,-3.850,-2.357
[18:22:09.399] imu_mag3:-1438.116,-44.349,-1139.208
[18:22:09.437] imu_att:0.409,21.526,0.931,-179.508,-3.051,-2.535
[18:22:09.438] imu_mag3:-1461.028,-65.487,-1128.636
[18:22:09.477] imu_att:0.158,21.198,0.845,179.552,-3.773,-2.824
[18:22:09.478] imu_mag3:-1453.072,-57.860,-1101.018
[18:22:09.516] imu_att:0.275,21.140,0.769,179.988,-3.681,-3.071
[18:22:09.517] imu_mag3:-1443.243,-60.719,-1100.984
[18:22:09.557] imu_att:0.499,20.883,0.703,179.782,-3.493,-3.248
[18:22:09.559] imu_mag3:-1451.027,-51.746,-1113.426
[18:22:09.598] imu_att:0.256,20.594,0.601,179.940,-3.677,-3.476
[18:22:09.599] imu_mag3:-1448.167,-60.650,-1110.225
[18:22:09.637] imu_att:0.363,20.577,0.496,179.556,-4.014,-3.677
[18:22:09.638] imu_mag3:-1446.102,-51.787,-1106.240
[18:22:09.677] imu_att:0.394,20.636,0.394,179.147,-4.213,-3.828
[18:22:09.677] imu_mag3:-1455.888,-44.975,-1106.328
[18:22:09.717] imu_att:0.486,20.573,0.299,179.634,-3.857,-3.983
[18:22:09.719] imu_mag3:-1436.214,-49.608,-1113.464
[18:22:09.757] imu_att:0.638,20.567,0.242,-179.729,-3.678,-4.000
[18:22:09.758] imu_mag3:-1453.034,-54.773,-1110.303
[18:22:09.797] imu_att:0.693,20.622,0.221,-179.800,-3.333,-3.959
[18:22:09.798] imu_mag3:-1446.105,-51.855,-1101.104
[18:22:09.837] imu_att:0.620,20.725,0.202,-179.379,-2.908,-3.784
[18:22:09.837] imu_mag3:-1460.985,-60.749,-1113.297
[18:22:09.877] imu_att:0.366,20.594,0.183,179.577,-3.867,-3.789
[18:22:09.879] imu_mag3:-1436.244,-51.748,-1101.111
[18:22:09.918] imu_att:0.478,20.440,0.159,179.988,-3.602,-3.818
[18:22:09.918] imu_mag3:-1451.066,-54.833,-1104.141
[18:22:09.957] imu_att:0.435,20.483,0.137,179.567,-3.917,-3.841
