# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:30.592] 362.00,-1835.00,-1827.00
[15:45:30.633] 350.00,-1842.00,-1830.00
[15:45:30.674] 355.00,-1832.00,-1820.00
[15:45:30.713] 342.00,-1840.00,-1815.00
[15:45:30.752] 340.00,-1852.00,-1808.00
[15:45:30.790] 337.00,-1842.00,-1798.00
[15:45:30.833] 335.00,-1871.00,-1791.00
[15:45:30.872] 340.00,-1885.00,-1781.00
[15:45:30.911] 340.00,-1878.00,-1770.00
[15:45:30.950] 340.00,-1878.00,-1770.00
[15:45:30.993] 321.00,-1916.00,-1745.00
[15:45:31.033] 335.00,-1900.00,-1737.00
[15:45:31.073] 347.00,-1908.00,-1732.00
[15:45:31.111] 340.00,-1926.00,-1721.00
[15:45:31.153] 342.00,-1926.00,-1706.00
[15:45:31.193] 345.00,-1932.00,-1708.00
[15:45:31.231] 318.00,-1926.00,-1713.00
[15:45:31.273] 330.00,-1942.00,-1708.00
[15:45:31.312] 318.00,-1923.00,-1718.00
[15:45:31.353] 306.00,-1916.00,-1708.00
[15:45:31.393] 301.00,-1911.00,-1718.00
[15:45:31.432] 308.00,-1906.00,-1735.00
[15:45:31.472] 303.00,-1911.00,-1726.00
[15:45:31.512] 298.00,-1937.00,-1703.00
[15:45:31.553] 313.00,-1932.00,-1703.00
[15:45:31.592] 308.00,-1935.00,-1675.00
[15:45:31.632] 318.00,-1956.00,-1670.00
[15:45:31.673] 308.00,-1950.00,-1665.00
[15:45:31.713] 316.00,-1963.00,-1662.00
[15:45:31.753] 311.00,-1966.00,-1655.00
[15:45:31.792] 308.00,-1968.00,-1677.00
[15:45:31.832] 293.00,-1973.00,-1675.00
[15:45:31.874] 298.00,-1971.00,-1682.00
[15:45:31.913] 281.00,-1956.00,-1660.00
[15:45:31.952] 281.00,-1953.00,-1667.00
[15:45:31.993] 288.00,-1963.00,-1665.00
[15:45:32.032] 278.00,-1963.00,-1650.00
[15:45:32.073] 298.00,-1966.00,-1650.00
[15:45:32.112] 330.00,-1968.00,-1657.00
[15:45:32.152] 306.00,-1956.00,-1667.00
