# Serial Log - 2026-04-11T15:57:40.345316
# Port: COM24 @ 115200bps
#============================================================
[15:57:40.633] -997.00
[15:57:45.351] 805.00,-318.00,-1980.00
[15:57:45.391] 377.00,-50.00,-1963.00
[15:57:45.431] 37.00,5.00,-1925.00
[15:57:45.470] -176.00,-2.00,-1891.00
[15:57:45.511] -335.00,-73.00,-1876.00
[15:57:45.551] -472.00,-188.00,-1883.00
[15:57:45.591] -606.00,-337.00,-1883.00
[15:57:45.630] -702.00,-528.00,-1883.00
[15:57:45.669] -790.00,-808.00,-1873.00
[15:57:45.712] -818.00,-1091.00,-1817.00
[15:57:45.751] -790.00,-1467.00,-1732.00
[15:57:45.790] -692.00,-1745.00,-1623.00
[15:57:45.823] -618.00,-1868.00,-1558.00
[15:57:45.870] -455.00,-2127.00,-1332.00
[15:57:45.911] -347.00,-2275.00,-1068.00
[15:57:45.951] -201.00,-2358.00,-656.00
[15:57:45.991] -120.00,-2325.00,-306.00
[15:57:46.031] -35.00,-2206.00,35.00
[15:57:46.079] 25.00,-2016.00,332.00
[15:57:46.112] 120.00,-1700.00,607.00
[15:57:46.157] 181.00,-1288.00,825.00
[15:57:46.211] 196.00,-911.00,903.00
[15:57:46.226] 222.00,-473.00,915.00
[15:57:46.259] 316.00,-93.00,796.00
[15:57:46.311] 408.00,245.00,582.00
[15:57:46.351] 455.00,318.00,495.00
[15:57:46.380] 580.00,653.00,-73.00
[15:57:46.486] 577.00,730.00,-447.00
[15:57:46.488] 506.00,735.00,-827.00
[15:57:46.503] 370.00,680.00,-1123.00
[15:57:46.549] 166.00,603.00,-1340.00
[15:57:46.604] -30.00,502.00,-1495.00
[15:57:46.620] -222.00,363.00,-1608.00
[15:57:46.662] -372.00,141.00,-1767.00
[15:57:46.703] -418.00,-117.00,-1920.00
[15:57:46.749] -401.00,-342.00,-2031.00
[15:57:46.793] -323.00,-490.00,-2097.00
[15:57:46.841] -147.00,-645.00,-2175.00
[15:57:46.921] -91.00,-690.00,-2180.00
[15:57:46.923] 293.00,-853.00,-2198.00
[15:57:46.940] 498.00,-901.00,-2177.00
[15:57:46.991] 695.00,-901.00,-2121.00
[15:57:47.037] 812.00,-858.00,-2082.00
[15:57:47.071] 902.00,-756.00,-2043.00
[15:57:47.101] 928.00,-595.00,-2012.00
[15:57:47.187] 851.00,-352.00,-2005.00
[15:57:47.189] 643.00,-188.00,-2023.00
[15:57:47.230] 375.00,-57.00,-2023.00
[15:57:47.270] 106.00,0.00,-2002.00
[15:57:47.314] -122.00,-7.00,-1956.00
[15:57:47.351] -262.00,-28.00,-1930.00
[15:57:47.400] -426.00,-115.00,-1907.00
[15:57:47.419] -587.00,-260.00,-1878.00
[15:57:47.471] -713.00,-400.00,-1861.00
[15:57:47.511] -848.00,-595.00,-1808.00
[15:57:47.551] -941.00,-827.00,-1757.00
[15:57:47.592] -1027.00,-1106.00,-1677.00
[15:57:47.632] -995.00,-1400.00,-1577.00
[15:57:47.669] -912.00,-1716.00,-1420.00
[15:57:47.712] -823.00,-1932.00,-1275.00
[15:57:47.744] -685.00,-2101.00,-1056.00
[15:57:47.790] -508.00,-2243.00,-752.00
[15:57:47.830] -360.00,-2306.00,-566.00
[15:57:47.871] -168.00,-2322.00,-298.00
[15:57:47.911] 15.00,-2263.00,-66.00
[15:57:47.950] 208.00,-2140.00,177.00
[15:57:47.991] 408.00,-1942.00,362.00
[15:57:48.072] 582.00,-1626.00,597.00
[15:57:48.072] 680.00,-1278.00,750.00
[15:57:48.112] 695.00,-890.00,825.00
[15:57:48.142] 662.00,-535.00,821.00
[15:57:48.191] 633.00,-168.00,752.00
[15:57:48.323] 601.00,141.00,585.00
[15:57:48.325] 651.00,405.00,308.00
[15:57:48.327] 677.00,611.00,-82.00
[15:57:48.428] 680.00,690.00,-321.00
[15:57:48.430] 667.00,708.00,-420.00
[15:57:48.431] 543.00,701.00,-953.00
[15:57:48.493] 408.00,642.00,-1221.00
[15:57:48.511] 225.00,506.00,-1481.00
[15:57:48.551] 130.00,407.00,-1628.00
[15:57:48.577] 0.00,162.00,-1840.00
[15:57:48.642] -83.00,-33.00,-1985.00
[15:57:48.672] -130.00,-257.00,-2082.00
[15:57:48.739] -163.00,-452.00,-2133.00
[15:57:48.740] -163.00,-713.00,-2175.00
[15:57:48.829] -122.00,-808.00,-2191.00
[15:57:48.837] -10.00,-946.00,-2208.00
[15:57:48.872] 103.00,-988.00,-2216.00
[15:57:48.954] 242.00,-1012.00,-2218.00
[15:57:48.954] 485.00,-925.00,-2191.00
[15:57:48.991] 713.00,-703.00,-2121.00
[15:57:49.039] 826.00,-528.00,-2051.00
[15:57:49.101] 968.00,-255.00,-1910.00
[15:57:49.102] 946.00,-33.00,-1840.00
[15:57:49.155] 761.00,168.00,-1817.00
[15:57:49.197] 252.00,238.00,-1886.00
[15:57:49.310] -311.00,228.00,-1827.00
[15:57:49.312] -700.00,141.00,-1693.00
[15:57:49.313] -1196.00,-155.00,-1366.00
[15:57:49.341] -1427.00,-450.00,-1095.00
[15:57:49.391] -1511.00,-661.00,-920.00
[15:57:49.436] -1503.00,-1001.00,-762.00
[15:57:49.469] -1476.00,-1138.00,-711.00
[15:57:49.511] -1413.00,-1315.00,-636.00
[15:57:49.567] -1371.00,-1420.00,-571.00
[15:57:49.585] -1317.00,-1483.00,-471.00
[15:57:49.629] -1273.00,-1550.00,-355.00
[15:57:49.684] -1217.00,-1600.00,-233.00
[15:57:49.699] -1063.00,-1652.00,-22.00
[15:57:49.750] -971.00,-1690.00,87.00
[15:57:49.791] -713.00,-1713.00,311.00
[15:57:49.831] -506.00,-1723.00,461.00
[15:57:49.871] -342.00,-1673.00,566.00
[15:57:49.910] -232.00,-1623.00,615.00
[15:57:49.951] 96.00,-1452.00,775.00
[15:57:50.053] 278.00,-1293.00,818.00
[15:57:50.055] 403.00,-1058.00,888.00
[15:57:50.100] 480.00,-761.00,901.00
[15:57:50.104] 501.00,-485.00,883.00
[15:57:50.150] 487.00,-100.00,793.00
[15:57:50.195] 455.00,162.00,633.00
[15:57:50.233] 431.00,426.00,408.00
[15:57:50.279] 426.00,651.00,112.00
[15:57:50.311] 423.00,772.00,-291.00
[15:57:50.350] 396.00,785.00,-648.00
[15:57:50.443] 345.00,732.00,-1000.00
[15:57:50.443] 293.00,682.00,-1167.00
[15:57:50.458] 120.00,431.00,-1590.00
[15:57:50.796] 12.00,212.00,-1801.00
[15:57:50.799] -71.00,2.00,-1946.00
[15:57:50.799] -122.00,-210.00,-2028.00
[15:57:50.804] -122.00,-405.00,-2121.00
[15:57:50.805] -83.00,-552.00,-2175.00
[15:57:50.807] 66.00,-761.00,-2201.00
[15:57:50.811] 222.00,-920.00,-2201.00
[15:57:50.813] 403.00,-1035.00,-2186.00
[15:57:50.830] 611.00,-1075.00,-2128.00
[15:57:50.871] 828.00,-1058.00,-2033.00
[15:57:51.059] 976.00,-1027.00,-1971.00
[15:57:51.061] 1168.00,-927.00,-1842.00
[15:57:51.061] 1276.00,-816.00,-1757.00
[15:57:51.061] 1352.00,-675.00,-1680.00
[15:57:51.062] 1366.00,-495.00,-1611.00
[15:57:51.164] 1345.00,-276.00,-1556.00
[15:57:51.166] 1250.00,-41.00,-1526.00
[15:57:51.180] 1007.00,268.00,-1485.00
[15:57:51.222] 726.00,492.00,-1412.00
[15:57:51.280] 323.00,656.00,-1347.00
[15:57:51.311] -120.00,690.00,-1247.00
[15:57:51.358] -680.00,556.00,-1123.00
[15:57:51.389] -1007.00,340.00,-1038.00
[15:57:51.432] -1081.00,255.00,-1027.00
[15:57:51.472] -1381.00,-197.00,-1022.00
[15:57:51.516] -1455.00,-455.00,-1002.00
[15:57:51.606] -1483.00,-756.00,-990.00
[15:57:51.607] -1493.00,-908.00,-951.00
[15:57:51.622] -1473.00,-1138.00,-852.00
[15:57:51.671] -1462.00,-1286.00,-721.00
[15:57:51.718] -1388.00,-1423.00,-543.00
[15:57:51.750] -1317.00,-1531.00,-332.00
[15:57:51.791] -1210.00,-1568.00,-105.00
[15:57:51.831] -1095.00,-1597.00,100.00
[15:57:51.871] -943.00,-1547.00,291.00
[15:57:51.899] -780.00,-1495.00,491.00
[15:57:51.950] -736.00,-1457.00,530.00
[15:57:51.982] -485.00,-1246.00,738.00
[15:57:52.042] -337.00,-1082.00,842.00
[15:57:52.057] -166.00,-777.00,925.00
[15:57:52.110] -61.00,-492.00,917.00
[15:57:52.163] -15.00,-207.00,862.00
[15:57:52.177] -2.00,73.00,721.00
[15:57:52.226] -20.00,321.00,546.00
[15:57:52.271] -61.00,587.00,243.00
[15:57:52.310] -50.00,742.00,-90.00
[15:57:52.354] -50.00,820.00,-422.00
[15:57:52.426] -66.00,808.00,-772.00
[15:57:52.428] -71.00,742.00,-1068.00
[15:57:52.466] -86.00,576.00,-1425.00
[15:57:52.512] -98.00,371.00,-1657.00
[15:57:52.603] -101.00,168.00,-1827.00
[15:57:52.604] -117.00,-202.00,-2038.00
[15:57:52.621] -103.00,-482.00,-2138.00
[15:57:52.664] -56.00,-708.00,-2193.00
[15:57:52.726] 42.00,-920.00,-2198.00
[15:57:52.770] 196.00,-1122.00,-2186.00
[15:57:52.792] 396.00,-1307.00,-2133.00
[15:57:52.958] 682.00,-1467.00,-1980.00
[15:57:52.961] 946.00,-1515.00,-1830.00
[15:57:52.962] 1202.00,-1473.00,-1665.00
[15:57:52.964] 1293.00,-1420.00,-1600.00
[15:57:52.981] 1376.00,-1365.00,-1520.00
[15:57:53.065] 1598.00,-965.00,-1298.00
[15:57:53.065] 1647.00,-711.00,-1216.00
[15:57:53.111] 1626.00,-416.00,-1138.00
[15:57:53.138] 1532.00,-83.00,-1085.00
[15:57:53.191] 1332.00,202.00,-1080.00
[15:57:53.230] 936.00,545.00,-1036.00
[15:57:53.264] 516.00,735.00,-986.00
[15:57:53.310] 35.00,813.00,-830.00
[15:57:53.355] -398.00,740.00,-651.00
[15:57:53.442] -677.00,613.00,-495.00
[15:57:53.444] -1076.00,276.00,-282.00
[15:57:53.459] -1142.00,195.00,-238.00
[15:57:53.546] -1388.00,-426.00,-115.00
[15:57:53.548] -1442.00,-711.00,-107.00
[15:57:53.591] -1442.00,-951.00,-148.00
[15:57:53.631] -1420.00,-1133.00,-170.00
[15:57:53.678] -1335.00,-1293.00,-151.00
[15:57:53.711] -1273.00,-1426.00,-53.00
[15:57:53.749] -1120.00,-1528.00,90.00
[15:57:53.812] -936.00,-1545.00,288.00
[15:57:53.828] -821.00,-1515.00,427.00
[15:57:53.927] -721.00,-1465.00,520.00
[15:57:53.927] -608.00,-1383.00,628.00
[15:57:53.943] -557.00,-1367.00,653.00
[15:57:53.997] -482.00,-1248.00,728.00
[15:57:54.053] -362.00,-1046.00,827.00
[15:57:54.068] -308.00,-858.00,881.00
[15:57:54.111] -245.00,-630.00,903.00
[15:57:54.140] -225.00,-413.00,883.00
[15:57:54.187] -257.00,-62.00,747.00
[15:57:54.255] -247.00,242.00,566.00
[15:57:54.257] -211.00,518.00,265.00
[15:57:54.407] -152.00,703.00,-30.0
[15:57:54.540] 0
[15:57:54.667] -96.00,822.00,-350.00
[15:57:54.674] -52.00,820.00,-713.00
[15:57:54.676] -73.00,727.00,-1082.00
[15:57:54.679] -150.00,563.00,-1410.00
[15:57:54.679] -245.00,333.00,-1646.00
[15:57:54.681] -350.00,88.00,-1798.00
[15:57:54.683] -493.00,-145.00,-1891.00
[15:57:54.683] -601.00,-463.00,-1968.00
[15:57:54.683] -606.00,-677.00,-2017.00
[15:57:54.699] -541.00,-1020.00,-2048.00
[15:57:54.764] -426.00,-1291.00,-2062.00
[15:57:54.807] -225.00,-1557.00,-2010.00
[15:57:54.824] 20.00,-1778.00,-1917.00
[15:57:55.063] 316.00,-1940.00,-1781.00
[15:57:55.065] 687.00,-2016.00,-1577.00
[15:57:55.066] 920.00,-2006.00,-1461.00
[15:57:55.092] 992.00,-1966.00,-1417.00
[15:57:55.181] 1398.00,-1697.00,-1136.00
[15:57:55.181] 1606.00,-1431.00,-978.00
[15:57:55.183] 1743.00,-1022.00,-825.00
[15:57:55.183] 1767.00,-663.00,-690.00
[15:57:55.183] 1690.00,-302.00,-592.00
[15:57:55.218] 1523.00,38.00,-468.00
[15:57:55.271] 1258.00,373.00,-367.00
[15:57:55.321] 895.00,635.00,-303.00
[15:57:55.337] 452.00,772.00,-318.00
[15:57:55.392] 40.00,796.00,-323.00
[15:57:55.431] -511.00,640.00,-165.00
[15:57:55.584] -667.00,526.00,-112.00
[15:57:55.584] -1007.00,228.00,12.00
[15:57:55.586] -1198.00,-76.00,85.00
[15:57:55.587] -1310.00,-381.00,107.00
[15:57:55.630] -1347.00,-576.00,131.00
[15:57:55.658] -1376.00,-843.00,82.00
[15:57:55.711] -1376.00,-958.00,46.00
[15:57:55.752] -1350.00,-1003.00,27.00
[15:57:55.889] -1345.00,-1003.00,76.00
[15:57:55.889] -1303.00,-991.00,126.00
[15:57:55.890] -1281.00,-901.00,218.00
[15:57:55.932] -1212.00,-813.00,280.00
[15:57:55.948] -1186.00,-732.00,291.00
[15:57:55.995] -1171.00,-675.00,318.00
[15:57:56.038] -1156.00,-632.00,330.00
[15:57:56.121] -1100.00,-511.00,376.00
[15:57:56.121] -1071.00,-435.00,378.00
[15:57:56.151] -997.00,-250.00,396.00
[15:57:56.182] -943.00,-76.00,337.00
[15:57:56.231] -905.00,117.00,218.00
[15:57:56.276] -871.00,266.00,61.00
[15:57:56.324] -853.00,440.00,-231.00
[15:57:56.602] -795.00,511.00,-507.00
[15:57:56.605] -738.00,535.00,-816.00
[15:57:56.606] -721.00,431.00,-1110.00
[15:57:56.608] -741.00,342.00,-1255.00
[15:57:56.610] -767.00,300.00,-1293.00
[15:57:56.610] -982.00,-88.00,-1435.00
[15:57:56.611] -1110.00,-373.00,-1495.00
[15:57:56.625] -1151.00,-687.00,-1490.00
[15:57:56.680] -1181.00,-991.00,-1492.00
[15:57:56.712] -1122.00,-1305.00,-1485.00
[15:57:56.804] -982.00,-1640.00,-1471.00
[15:57:56.804] -672.00,-1956.00,-1412.00
[15:57:56.819] -362.00,-2156.00,-1363.00
[15:57:56.872] -27.00,-2285.00,-1278.00
[15:57:56.913] 213.00,-2325.00,-1211.00
[15:57:56.976] 618.00,-2296.00,-1068.00
[15:57:56.992] 687.00,-2270.00,-1038.00
[15:57:57.031] 1151.00,-2047.00,-832.00
[15:57:57.142] 1352.00,-1850.00,-733.00
[15:57:57.144] 1542.00,-1605.00,-566.00
[15:57:57.149] 1642.00,-1350.00,-447.00
[15:57:57.184] 1701.00,-1080.00,-313.00
